id,common name,scientific name
544,Variable Oystercatcher,Haematopus unicolor
699,Variable Seedeater,Sporophila corvina
497,Varied Thrush,Ixoreus naevius
238,Vaux's Swift,Chaetura vauxi
700,Verdin,Auriparus flaviceps
439,Verditer Flycatcher,Eumyias thalassinus
701,Vermilion Flycatcher,Pyrocephalus rubinus
440,Violet Cuckoo,Chrysococcyx xanthorhynchus
239,Violet-Green Swallow,Tachycineta thalassina
595,Virginia Rail,Rallus limicola
702,Wattled Jacana,Jacana jacana
351,Wedge-Tailed Eagle,Aquila audax
545,Weka,Gallirallus australis
352,Welcome Swallow,Hirundo neoxena
568,Western Capercaillie,Tetrao urogallus
522,Western House Martin,Delichon urbicum
569,Western Jackdaw,Coloeus monedula
240,Western Meadowlark,Sturnella neglecta
703,Western Rockhopper Penguin,Eudyptes chrysocome
596,Western Screech-Owl,Megascops kennicottii
241,Western Tanager,Piranga ludoviciana
570,Western Yellow Wagtail,Motacilla flava
472,Whiskered Treeswift,Hemiprocne comata
242,White Stork,Ciconia ciconia
243,White Wagtail,Motacilla alba
244,White-Backed Woodpecker,Dendrocopos leucotos
353,White-Bellied Sea-Eagle,Haliaeetus leucogaster
245,White-Breasted Nuthatch,Sitta carolinensis
354,White-Breasted Woodswallow,Artamus leucoryn
704,White-Browed Tit-Spinetail,Leptasthenura xenothorax
441,White-Browed Tit-Warbler,Leptopoecile sophiae
442,White-Crested Laughingthrush,Garrulax leucolophus
246,White-Crowned Sparrow,Zonotrichia leucophrys
355,White-Faced Heron,Egretta novaehollandiae
247,White-Faced Ibis,Plegadis chihi
443,White-Headed Duck,Oxyura leucocephala
248,White-Throated Dipper,Cinclus cinclus
444,White-Throated Kingfisher,Halcyon smyrnensis
705,White-Throated Magpie-Jay,Cyanocorax formosus
249,White-Throated Swift,Aeronautes saxatalis
706,White-Tipped Dove,Leptotila verreauxi
571,Whooper Swan,Cygnus cygnus
250,Whooping Crane,Grus americana
251,Wild Turkey,Meleagris gallopavo
252,Willet,Tringa semipalmata
356,Willie-Wagtail,Rhipidura leucophrys
445,Willow Tit,Poecile montanus
572,Willow Warbler,Phylloscopus trochilus
253,Wilson's Snipe,Gallinago delicata
254,Wilson's Storm Petrel,Oceanites oceanicus
255,Wood Duck,Aix sponsa
256,Wood Stork,Mycteria americana
357,Wrybill,Anarhynchus frontalis
446,Yellow Bittern,Ixobrychus sinensis
707,Yellow Warbler,Setophaga petechia
257,Yellow-Bellied Sapsucker,Sphyrapicus varius
258,Yellow-Billed Cuckoo,Coccyzus americanus
597,Yellow-Billed Magpie,Pica nuttallii
259,Yellow-Breasted Chat,Icteria virens
546,Yellow-Eyed Penguin,Megadyptes antipodes
260,Yellow-Headed Blackbird,Xanthocephalus xanthocephalus
708,Yellow-Headed Caracara,Daptrius chimachima
261,Yellow-Rumped Warbler,Setophaga coronata
262,Yellowhammer,Emberiza citrinella
547,Yellowhead,Mohoua ochrocephala
447,Zebra Dove,Geopelia striata
2000,Amethyst Woodstar,Calliphlox amethystina
2001,Bee Hummingbird,Mellisuga helenae
2024,Black-Eared Fairy,Heliothryx auritus
2025,Black-Throated Mango,Anthracothorax nigricollis
2002,Blue-Tufted Starthroat,Heliomaster furcifer
2016,Cinnamon Hummingbird,Amazilia rutila
2032,Crimson Topaz,Topaza pella
2017,Crowned Woodnymph,Thalurania colombica
2003,Fiery-Throated Hummingbird,Panterpe insignis
2018,Gilded Hummingbird,Hylocharis chrysura
2026,Horned Sungem,Heliactin bilophus
2027,Hyacinth Visorbearer,Augastes scutatus
2028,Jamaican Mango,Anthracothorax mango
2033,Long-Billed Hermit,Phaethornis longirostris
2008,Long-Tailed Sylph,Aglaiocercus kingii
2009,Marvelous Spatuletail,Loddigesia mirabilis
2034,Minute Hermit,Phaethornis idaliae
2004,Oasis Hummingbird,Rhodopis vesper
2019,Purple-Crowned Plovercrest,Stephanoxis loddigesii
2029,Purple-Throated Carib,Eulampis jugularis
2010,Red-Tailed Comet,Sappho sparganurus
2030,Ruby-Topaz Hummingbird,Chrysolampis mosquitus
2035,Rufous-Breasted Hermit,Glaucis hirsutus
2011,Rufous-Crested Coquette,Lophornis delattrei
2020,Rufous-Tailed Hummingbird,Amazilia tzacatl
2036,Saw-Billed Hermit,Ramphodon naevius
2012,Shining Sunbeam,Aglaeactis cupripennis
2005,Short-Tailed Woodstar,Myrmia micrura
2021,Snowcap,Microchera albocoronata
2031,Sparkling Violetear,Colibri coruscans
2013,Speckled Hummingbird,Adelomyia melanogenys
2006,Stripe-Breasted Starthroat,Heliomaster squamosus
2037,Stripe-Throated Hermit,Phaethornis striigularis
2022,Swallow-Tailed Hummingbird,Eupetomena macroura
2014,Sword-Billed Hummingbird,Ensifera ensifera
2023,Violet Sabrewing,Campylopterus hemileucurus
2007,White-Bellied Woodstar,Chaetocercus mulsant
2015,White-Booted Racket-Tail,Ocreatus underwoodii
2038,White-Necked Jacobin,Florisuga mellivora
2039,White-Tipped Sicklebill,Eutoxeres aquila
