Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,ru
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,Белолобый лесной перепел
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,Мраморный зубцеклювый перепел
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,Пестрокрылый зубцеклювый перепел
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,Черноухий зубцеклювый перепел
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,Черноухий зубцеклювый перепел
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,Чернолобый зубцеклювый перепел
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,Каштановый зубцеклювый перепел
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,Темноспинный зубцеклювый перепел
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,Рыжегрудый зубцеклювый перепел
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,Черношапочный зубцеклювый перепел
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,Воротничковый зубцеклювый перепел
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,Венесуэльский зубцеклювый перепел
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,Белогорлый зубцеклювый перепел
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,Пестролицый зубцеклювый перепел
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,Звёздчатый зубцеклювый перепел
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,Пятнистый зубцеклювый перепел
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,Длинноногий перепел
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,Певчий перепел
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,Плачущий перепел
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,Плачущий перепел (sallei/rowleyi)
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,Глазчатый перепел
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,Уджунгванская куропатка
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,Венценосная куропатка
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,Воротничковая лесная куропатка
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,Красногорлая лесная куропатка
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,Белощёкая лесная куропатка
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,Красноклювый франколин
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,Капский франколин
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,Натальский франколин
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,Восточноафриканский франколин
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,Гамбийский франколин
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,Чешуйчатый франколин
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,Серополосый франколин
