Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,bn,bn_in
Laniarius atroflavus,Yellow-breasted Boubou,yebbou1,91479871,FALSE,,
Rhodophoneus cruentus,Rosy-patched Bush-shrike,ropbus1,31373471,FALSE,,
Telephorus zeylonus,Bokmakierie,bokmak1,394293321,FALSE,,
Telophorus dohertyi,Doherty's Bush-shrike,dohbus1,203915511,FALSE,,
Telophorus viridis,Gorgeous Bush-shrike,focbus2,203937301,FALSE,,
Rhipidura rufidorsa,Rufous-backed Fantail,rubfan1,251042351,FALSE,,
Rhipidura dahli,Bismarck Fantail,bisfan1,20527,FALSE,,
Rhipidura matthiae,Mussau Fantail,matfan1,630458690,FALSE,,
Rhipidura malaitae,Malaita Fantail,malfan1,,FALSE,,
Rhipidura lepida,Palau Fantail,palfan1,610419877,FALSE,,
Rhipidura teysmanni,Rusty-bellied Fantail,rubfan2,203990171,FALSE,,
Rhipidura superflua,Tawny-backed Fantail,cibfan1,125195701,FALSE,,
Rhipidura dedemi,Streaky-breasted Fantail,stbfan1,518214,FALSE,,
Rhipidura opistherythra,Long-tailed Fantail,lotfan1,203925901,FALSE,,
Rhipidura rufifrons,Rufous Fantail,ruffan13,622532532,FALSE,,
Rhipidura kubaryi,Pohnpei Fantail,pohfan1,140100,FALSE,,
Rhipidura melanolaema,White-fronted Fantail,sacfan1,,FALSE,,
Rhipidura semirubra,Manus Fantail,manfan2,650735850,FALSE,,
Rhipidura dryas,Arafura Fantail,arafan1,21108771,FALSE,,
Rhipidura albolimbata,Friendly Fantail,frifan1,166196011,FALSE,,
Rhipidura hyperythra,Chestnut-bellied Fantail,chbfan1,204010921,FALSE,,
Rhipidura drownei,Bougainville Fantail,brnfan1,634724835,FALSE,,
Rhipidura ocularis,Guadalcanal Fantail,brnfan2,,FALSE,,
Rhipidura verreauxi,New Caledonia Streaked Fantail,strfan5,203908051,FALSE,,
Rhipidura spilodera,Vantau Streaked Fantail,strfan2,203983901,FALSE,,
Rhipidura layardi,Fiji Streaked Fantail,fisfan1,203983801,FALSE,,
Rhipidura rufilateralis,Taveuni Streaked Fantail,,,FALSE,,
Rhipidura tenebrosa,Dusky Fantail,dusfan1,118105701,FALSE,,
Rhipidura rennelliana,Rennell Fantail,renfan1,203959621,FALSE,,
Rhipidura nebulosa,Samoan Fantail,samfan1,139901,FALSE,,
Rhipidura personata,Kadavu Fantail,kanfan1,203908691,FALSE,,
Rhipidura phasiana,Mangrove Fantail,manfan1,552436201,FALSE,,
Rhipidura albiscapa,Grey Fantail,gryfan1,125284321,FALSE,,
Rhipidura fuliginosa,New Zealand Fantail,nezfan1,136116,FALSE,,
DICRURIDAE,Drongos,,,FALSE,,
Dicrurus ludwigii,Square-tailed Drongo,cstdro1,524103,FALSE,,
Dicrurus atripennis,Shining Drongo,shidro1,572171571,FALSE,,
Dicrurus adsimilis,Fork-tailed Drongo,fotdro5,566320091,FALSE,,
Dicrurus modestus,Velvet-mantled Drongo,vemdro6,23412,FALSE,,
Dicrurus fuscipennis,Comoro Drongo,comdro1,,FALSE,,
Dicrurus aldabranus,Aldabra Drongo,alddro1,101982,FALSE,,
Dicrurus forficatus,Crested Drongo,credro1,203963221,FALSE,,
Dicrurus waldenii,Mayotte Drongo,maydro1,203979041,FALSE,,
Dicrurus macrocercus,Black Drongo,bladro1,70669,TRUE,কালা ফিঙে,ফিঙে
Dicrurus leucophaeus,Ashy Drongo,ashdro1,203925571,FALSE,মেটে ফিঙে,নীল ফিঙে
Dicrurus caerulescens,White-bellied Drongo,whbdro1,627085635,FALSE,ধৌলি ফিঙে,ধৌলি ফিঙে
Dicrurus annectens,Crow-billed Drongo,crbdro1,601449901,FALSE,কাকঠুটোঁ ফিঙে,কাক-চঞ্চু ফিঙে
Dicrurus aeneus,Bronzed Drongo,brodro1,611524720,FALSE,ব্রঞ্জ ফিঙে,ছোট ফিঙে
Dicrurus remifer,Lesser Racquet-tailed Drongo,lrtdro1,491091991,FALSE,ছোট রেকেটফিঙে,ছোট ভীমরাজ
Dicrurus balicassius,Balicassiao,balica1,203894031,FALSE,,
Dicrurus hottentottus,Hair-crested Drongo,hacdro1,633664262,FALSE,,কেশরাজ
Dicrurus striatus,Short-tailed Drongo,hacdro3,203894191,FALSE,,
Dicrurus sumatranus,Sumatran Drongo,sumdro1,79540,FALSE,,
Dicrurus densus,Wallacean Drongo,waldro1,203926011,FALSE,,
Dicrurus menagei,Tablas Drongo,tabdro1,204000011,FALSE,,
Dicrurus montanus,Sulawesi Drongo,suldro1,203990161,FALSE,,
Dicrurus bracteatus,Spangled Drongo,spadro1,233622,TRUE,,
Dicrurus megarhynchus,Ribbon-tailed Drongo,ritdro1,490062581,FALSE,,
Dicrurus andamanensis,Andaman Drongo,anddro1,203955161,FALSE,,
Dicrurus paradiseus,Greater Racquet-tailed Drongo,grtdro1,414480261,TRUE,,ভীমরাজ
Dicrurus lophorinus,Sri Lanka Drongo,srldro1,632034358,FALSE,,
RHIPIDURIDAE,Fantails,,,FALSE,,
Chaetorhynchus papuensis,Drongo Fantail,papdro1,168351,FALSE,,
Lamprolia klinesmithi,Natewa Silktail,silkta3,203945621,FALSE,,
Lamprolia victoriae,Tavenui Silktail,silkta2,203983711,FALSE,,
Rhipidura atra,Black Fantail,blafan1,166569471,FALSE,,
Rhipidura nigrocinnamomea,Black-and-cinnamon Fantail,bacfan1,203894311,FALSE,,
Rhipidura cyaniceps,Blue-headed Fantail,blhfan1,264310411,FALSE,,
Rhipidura sauli,Tablas Fantail,tabfan1,648551906,FALSE,,
Rhipidura albiventris,Visayan Fantail,visfan1,626950828,FALSE,,
Rhipidura samarensis,Visayan Blue Fantail,visblf1,580097851,FALSE,,
Rhipidura superciliaris,Mindanao Blue Fantail,blufan1,296,FALSE,,
Rhipidura euryura,White-bellied Fantail,whbfan1,70594,FALSE,,
Rhipidura perlata,Spotted Fantail,spofan1,598705181,FALSE,,
Rhipidura fuscorufa,Cinnamon-tailed Fantail,citfan1,613983304,FALSE,,
Rhipidura tenkatei,Roti Fantail,,,FALSE,,
Rhipidura rufiventris,Timor Fantail,norfan1,204010931,FALSE,,
Rhipidura hoedti,Banda Fantail,,,FALSE,,
Rhipidura bouruensis,Buru Fantail,,,FALSE,,
Rhipidura obiensis,Obi Fantail,,,FALSE,,
Rhipidura cinerea,Seram Fantail,,,FALSE,,
Rhipidura assimilis,Kai Fantail,,,FALSE,,
Rhipidura kordensis,Biak Fantail,,,FALSE,,
Rhipidura isura,Northern Fantail,norfan1,204010931,FALSE,,
