Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,es,es_ar,es_cr,es_ec,es_es,es_mx,es_pa,es_pe,es_ve
Tachybaptus novaehollandiae,Australasian Grebe,ausgre1,611422409,FALSE,Zampullín Australiano,Zampullín Australiano,Zampullín Australiano,Zampullín Australiano,Zampullín Australiano,Zampullín Australiano,Zampullín Australiano,Zampullín Australiano,Zampullín Australiano
Tachybaptus pelzelni,Madagascar Grebe,madgre1,93697,FALSE,Zampullín Malgache,Zampullín Malgache,Zampullín Malgache,Zampullín Malgache,Zampullín Malgache,Zampullín Malgache,Zampullín Malgache,Zampullín Malgache,Zampullín Malgache
Tachybaptus dominicus,Least Grebe,leagre,575610581,FALSE,Zampullín Macacito,Macá Gris,Zambullidor Enano,Zambullidor Menor,Zampullín Macacito,Zambullidor Menor,Zambullidor Menor,Zambullidor Menor,Patico Zambullidor
Podilymbus podiceps,Pied-billed Grebe,pibgre,131025131,TRUE,Zampullín picogrueso,Macá Pico Grueso,Zambullidor Piquipinto,Zambullidor Piquipinto,Zampullín Picogrueso,Zambullidor Pico Grueso,Zambullidor Piquipinto,Zambullidor de Pico Grueso,Buzo
†Podilymbus gigas,Atitlan Grebe,atigre1,943,FALSE,,,,,,,,,
Rollandia rolland,White-tufted Grebe,whtgre3,477283851,FALSE,Zampullín Pimpollo,Macá Cara Blanca,Zampullín Pimpollo,Zampullín Pimpollo,Zampullín Pimpollo,Zampullín Pimpollo,Zampullín Pimpollo,Zambullidor Pimpollo,Zampullín Pimpollo
Rollandia microptera,Titicaca Grebe,titgre1,647134154,TRUE,Zampullín del Titicaca,Zampullín del Titicaca,Zampullín del Titicaca,Zampullín del Titicaca,Zampullín del Titicaca,Zampullín del Titicaca,Zampullín del Titicaca,Zambullidor del Titicaca,Zampullín del Titicaca
Poliocephalus poliocephalus,Hoary-headed Grebe,hohgre1,99561861,FALSE,Zampullín Canoso,Zampullín Canoso,Zampullín Canoso,Zampullín Canoso,Zampullín Canoso,Zampullín Canoso,Zampullín Canoso,Zampullín Canoso,Zampullín Canoso
Poliocephalus rufopectus,New Zealand Dabchick,nezgre1,286680201,TRUE,Zampullín Maorí,Zampullín Maorí,Zampullín Maorí,Zampullín Maorí,Zampullín Maorí,Zampullín Maorí,Zampullín Maorí,Zampullín Maorí,Zampullín Maorí
Podiceps major,Great Grebe,gregre1,440914901,FALSE,Somormujo Macachón,Macá Grande,Somormujo Macachón,Zambullidor Grande,Somormujo Macachón,Somormujo Macachón,Somormujo Macachón,Zambullidor Grande,Somormujo Macachón
Podiceps grisegena,Red-necked Grebe,rengre,345214271,FALSE,Somormujo Cuellirrojo,Somormujo Cuellirrojo,Somormujo Cuellirrojo,Somormujo Cuellirrojo,Somormujo Cuellirrojo,Zambullidor Cuello Rojo,Somormujo Cuellirrojo,Somormujo Cuellirrojo,Somormujo Cuellirrojo
Podiceps cristatus,Great Crested Grebe,grcgre1,304794,TRUE,Somormujo lavanco,Somormujo lavanco,Somormujo lavanco,Somormujo lavanco,Somormujo Lavanco,Somormujo lavanco,Somormujo lavanco,Somormujo lavanco,Somormujo lavanco
Podiceps auritus,Horned Grebe,horgre,138207,FALSE,Zampullín Cuellirrojo,Zampullín Cuellirrojo,Zampullín Cuellirrojo,Zampullín Cuellirrojo,Zampullín Cuellirrojo,Zambullidor Cornudo,Zampullín Cuellirrojo,Zampullín Cuellirrojo,Zampullín Cuellirrojo
Podiceps nigricollis,Black-necked Grebe,eargre,353764321,TRUE,Zampullín Cuellinegro,Zampullín Cuellinegro,Zambullidor Mediano,Zampullín Cuellinegro,Zampullín cuellinegro,Zambullidor Orejón,Zampullín Cuellinegro,Zampullín Cuellinegro,Zampullín Cuellinegro
†Podiceps andinus,Colombian Grebe,colgre1,,FALSE,,,,,,,,,
Podiceps juninensis,Northern Silvery Grebe,,,FALSE,Zampullín Plateado (junensis),Zampullín Plateado (junensis),Zampullín Plateado (junensis),Zampullín Plateado (junensis),Zampullín plateado (junensis),Zampullín Plateado (junensis),Zampullín Plateado (junensis),Zampullín Plateado (junensis),Zampullín Plateado (junensis)
Podiceps occipitalis,Southern Silvery Grebe,silgre1,513976181,FALSE,Zampullín Plateado,Macá Plateado,Zampullín Plateado,Zambullidor Plateado,Zampullín Plateado,Zampullín Plateado,Zampullín Plateado,Zambullidor Plateado,Zampullín Plateado
Podiceps taczanowskii,Junin Grebe,jungre1,31433401,FALSE,Zampullín del Junín,Zampullín del Junín,Zampullín del Junín,Zampullín del Junín,Zampullín del Junín,Zampullín del Junín,Zampullín del Junín,Zambullidor de Junín,Zampullín del Junín
Podiceps gallardoi,Hooded Grebe,hoogre1,204017041,FALSE,Zampullín Tobiano,Macá Tobiano,Zampullín Tobiano,Zampullín Tobiano,Zampullín Tobiano,Zampullín Tobiano,Zampullín Tobiano,Zampullín Tobiano,Zampullín Tobiano
Aechmophorus occidentalis,Western Grebe,wesgre,70246371,FALSE,Achichilique Común/de Clark,Achichilique Común/de Clark,Achichilique Común/de Clark,Achichilique Común/de Clark,Achichilique común/de Clark,Achichilique Pico Amarillo,Achichilique Común/de Clark,Achichilique Común/de Clark,Achichilique Común/de Clark
Aechmophorus clarkii,Clark's Grebe,clagre,254971331,TRUE,Achichilique de Clark,Achichilique de Clark,Achichilique de Clark,Achichilique de Clark,Achichilique de Clark,Achichilique Pico Naranja,Achichilique de Clark,Achichilique de Clark,Achichilique de Clark
Columba thomensis,Sao Tome Olive-pigeon,marpig1,640382332,FALSE,Paloma de Santo Tomé,Paloma de Santo Tomé,Paloma de Santo Tomé,Paloma de Santo Tomé,Paloma de Santo Tomé,Paloma de Santo Tomé,Paloma de Santo Tomé,Paloma de Santo Tomé,Paloma de Santo Tomé
