Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,sr
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,Ugandski frankolin
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,Kamerunski frankolin
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,Crno-beli frankolin
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,Riđoglavi frankolin
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,Etiopski frankolin
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,Džibutski frankolin
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,Crni frankolin
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,Belopegavi frankolin
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,Kineski frankolin
Francolinus pondicerianus,Grey Francolin,,,FALSE,Sivi frankolin
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,Močvarski frankolin
Dendroperdix sephaena,Crested Francolin,crefra2,203935661,FALSE,Ćubasti frankolin
Peliperdix coqui,Coqui Francolin,coqfra2,277029611,FALSE,
Peliperdix albogularis,White-throated Francolin,whtfra2,203974361,FALSE,Belogrli frankolin
