Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,et
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,viirfrankoliin (viir-frankoliinkana)
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,kapi frankoliin (kapi-frankoliinkana)
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,kiripugu-frankoliin (kiripugu-frankoliinkana)
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,tähnikfrankoliin (tähnik-frankoliinkana)
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,ginea frankoliin (ginea frankoliinkana)
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,tuhkfrankoliin (tuhk-frankoliinkana)
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,ruugefrankoliin (ruuge-frankoliinkana)
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,kuldkurk-frankoliin (kuldkurk-frankoliinkana)
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,serengeti frankoliin (serengeti frankoliinkana)
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,punakurk-frankoliin (punakurk-frankoliinkana)
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,lammifrankoliin (lammi-frankoliinkana)
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,keenia frankoliin (keenia frankoliinkana)
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,ruanda frankoliin (ruanda frankoliinkana)
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,kameruni frankoliin (kameruni frankoliinkana)
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,kaelusfrankoliin (kaelus-frankoliinkana)
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,etioopia frankoliin (etioopia frankoliinkana)
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,suurfrankoliin (suur-frankoliinkana)
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,kadakafrankoliin (kadaka-frankoliinkana)
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,mustfrankoliin e. must-frankoliinkana
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,vihma-frankoliin (vihma-frankoliinkana)
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,ida-frankoliin (ida-frankoliinkana)
Francolinus pondicerianus,Grey Francolin,,,FALSE,hallfrankoliin (hall-frankoliinkana)
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,soofrankoliin (soo-frankoliinkana)
