Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,uk
Sericornis citreogularis,Yellow-throated Scrubwren,yetscr1,630963146,FALSE,Кущовик жовтогорлий
Sericornis spilodera,Pale-billed Scrubwren,pabscr1,167040,FALSE,Кущовик світлодзьобий
Sericornis papuensis,Papuan Scrubwren,papscr1,204010951,FALSE,Кущовик папуанський
Sericornis perspicillatus,Buff-faced Scrubwren,bufscr1,203972301,FALSE,Кущовик вохристощокий
Sericornis rufescens,Vogelkop Scrubwren,vogscr1,622572679,FALSE,Кущовик малий
Sericornis arfakianus,Grey-green Scrubwren,,,FALSE,Кущовик оливковий
Sericornis keri,Atherton Scrubwren,athscr1,78535111,FALSE,Кущовик квінслендський
Sericornis humilis,Tasmanian Scrubwren,tasscr1,250426831,FALSE,Кущовик тасманійський
Sericornis frontalis,White-browed Scrubwren,whbscr1,204002831,FALSE,Кущовик білочеревий
Sericornis magnirostra,Large-billed Scrubwren,labscr2,233524,FALSE,Кущовик східний
Sericornis beccarii,Tropical Scrubwren,becscr1,203972721,FALSE,Кущовик тропічний
Sericornis nouhuysi,Large Scrubwren,larscr1,627004792,FALSE,Кущовик великий
S. n. virgatus,Perplexing Scrubwren,,,FALSE,
Acanthornis magna,Scrubtit,scrubt2,274613011,FALSE,Кущовик острівний
Aphelocephala leucopsis,Southern Whiteface,souwhi1,301645121,FALSE,Білолобик бурий
Aphelocephala pectoralis,Chestnut-breasted Whiteface,chbwhi1,203888291,FALSE,Білолобик рудоволий
Aphelocephala nigricincta,Banded Whiteface,banwhi1,507217201,FALSE,Білолобик чорносмугий
Acanthiza cinerea,Grey Thornbill,mouger1,203991621,FALSE,Ріроріро новогвінейський
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,yertho1,256645301,FALSE,Шиподзьоб жовтогузий
Acanthiza murina,Papuan Thornbill,paptho1,20983,FALSE,Шиподзьоб новогвінейський
Acanthiza nana,Yellow Thornbill,yeltho1,63281511,FALSE,Шиподзьоб малий
Acanthiza lineata,Striated Thornbill,strtho1,310137211,FALSE,Шиподзьоб смугастоволий
Acanthiza apicalis,Inland Thornbill,inltho1,101905991,FALSE,Шиподзьоб широкохвостий
Acanthiza ewingii,Tasmanian Thornbill,tastho1,254843701,FALSE,Шиподзьоб тасманійський
Acanthiza pusilla,Brown Thornbill,brotho1,248530531,FALSE,Шиподзьоб бурий
Acanthiza katherina,Mountain Thornbill,moutho1,632277598,FALSE,Шиподзьоб квінслендський
Acanthiza robustirostris,Slaty-backed Thornbill,slbtho1,176319381,FALSE,Шиподзьоб сіроспинний
Acanthiza iredalei,Slender-billed Thornbill,slbtho2,434955151,FALSE,Шиподзьоб карликовий
Acanthiza uropygialis,Chestnut-rumped Thornbill,chrtho1,463353141,FALSE,Шиподзьоб рудогузий
Acanthiza reguloides,Buff-rumped Thornbill,burtho1,301693751,FALSE,Шиподзьоб золотомушковий
Acanthiza inornata,Western Thornbill,westho1,184097811,FALSE,Шиподзьоб лісовий
Pardalotus punctatus,Spotted Pardalote,spopar1,255839361,FALSE,Діамантниця леопардова
Pardalotus quadragintus,Forty-spotted Pardalote,fospar1,206364541,FALSE,Діамантниця тасманійська
Pardalotus rubricatus,Red-browed Pardalote,rebpar6,638052542,FALSE,Діамантниця жовтоброва
Orthonyx novaeguineae,Papuan Logrunner,norlog1,203986821,FALSE,Чаучила папуанська
Orthonyx spaldingii,Chowchilla,chowch1,33171711,FALSE,Чаучила чорноголова
POMATOSTOMIDAE,Australasian Babblers,,,FALSE,
ACANTHIZIDAE,Thornbills,,,FALSE,
Garritornis isidorei,Papuan Babbler,negbab1,633475456,FALSE,Стадняк новогвінейський
Pomatostomus temporalis,Grey-crowned Babbler,gycbab1,101314941,FALSE,Стадняк білоголовий
Pomatostomus halli,Hall's Babbler,halbab1,203887451,FALSE,Стадняк східний
Pomatostomus superciliosus,White-browed Babbler,whbbab3,226263,FALSE,Стадняк білобровий
Pomatostomus ruficeps,Chestnut-crowned Babbler,chcbab2,203967151,FALSE,Стадняк рудоголовий
Pachycare flavogriseum,Goldenface,dwawhi1,166550361,FALSE,товстодзьобка
Oreoscopus gutturalis,Fernwren,fernwr1,33163971,FALSE,Папоротчук квінслендський
Gerygone mouki,Brown Gerygone,broger1,65570541,FALSE,Ріроріро бурий
Gerygone chrysogaster,Yellow-bellied Gerygone,yebger1,204010721,FALSE,Ріроріро жовточеревий
Gerygone palpebrosa,Fairy Gerygone,faiger1,650350103,FALSE,Ріроріро вусатий
