Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,fi
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,panamanviiriäinen
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,kolumbianviiriäinen
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,venezuelanviiriäinen
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,mustarintaviiriäinen
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,viirunaamaviiriäinen
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,tähtiviiriäinen
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,liekkiniskaviiriäinen
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,peltopyyviiriäinen
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,ruostekurkkuviiriäinen
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,montezumanviiriäinen
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,montezumanviiriäinen (sallei/rowleyi)
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,harlekiiniviiriäinen
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,udzungwanpyy
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,harjapyy
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,viidakkopyy
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,ruskokurkkupyy
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,valkoposkipyy
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,punanokkafrankoliini
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,kapinfrankoliini
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,natalinfrankoliini
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,mustatäpläfrankoliini
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,guineanfrankoliini
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,suomufrankoliini
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,juovafrankoliini
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,keltakurkkufrankoliini
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,tansanianfrankoliini
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,punakurkkufrankoliini
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,kosteikkofrankoliini
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,kenianvuorifrankoliini
