Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,cs
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,křepelka černoprsá
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,křepelka harlekýn
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,křepelka rezavohrdlá
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,křepelka proměnlivá
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,křepelka čínská
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,křepelka Adansonova
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,křepelka novoguinejská
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,velekur kavkazský
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,velekur kaspický
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,velekur himálajský
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,velekur tibetský
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,velekur altajský
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,orebice horská
Alectoris chukar,Chukar,chukar,210513,FALSE,orebice čukar
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,orebice čínská
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,orebice Philbyova
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,orebice berberská
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,orebice rudá
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,orebice černohlavá
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,koroptev sněžní
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,koroptev pouštní
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,koroptev arabská
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,křepelka křovinná/skalní
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,křepelka madraská
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,křepelka pestrá
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,křepelka ásamská
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,křepelka himálajská
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,frankolín malý
