Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,tr
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,Büyük Tavus Sülünü
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,Kızıl Sırtlı Tavus Sülünü
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,Bronz kuyruklu tavus sülünü
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,İncili Keklik
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,Bıldırcın
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,Japon Bıldırcını
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,Yağmur bıldırcını
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,Soytarı Bıldırcını
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,Anız Bıldırcını
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,Boz bıldırcın
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,Asya Mavi Bıldırcını
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,Afrika mavi bıldırcını
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,Büyük Bıldırcın
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,Kafkas Urkekliği
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,Urkeklik
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,Himalaya Urkekliği
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,Tibet Urkekliği
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,Altay Urkekliği
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,Kaya Kekliği
Alectoris chukar,Chukar,chukar,210513,FALSE,Kınalı keklik
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,Kızılca keklik
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,kara boğazlı keklik
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,Berberi Kekliği
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,Kızıl Keklik
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,Arabistan kekliği
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,Kar kekliği
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,Kum Kekliği
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,Arabistan kum kekliği
