Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,ca
†Atlantisia podarces,Inaccessible Rail,,,FALSE,
Atlantisia rogersi,Inaccessible Rail,,,FALSE,Rascló de l'illa Inaccessible
Aramides ypecaha,Giant Wood-rail,giwrai1,173660121,FALSE,Rascló gegant
Aramides wolfi,Brown Wood-rail,brwrai1,650930550,FALSE,Rascló de Wolf
Aramides mangle,Little Wood-rail,liwrai1,235037781,FALSE,Rascló dels manglars
Aramides cajaneus,Grey-necked Wood-rail,gycwor1,2306,FALSE,rascló de clatell rogenc/de Caiena
Aramides axillaris,Rufous-necked Wood-rail,rnwrai1,132338891,FALSE,Rascló de coll rogenc
Aramides calopterus,Red-winged Wood-rail,rwwrai1,,FALSE,Rascló d'ales rogenques
Aramides saracura,Slaty-breasted Wood-rail,sbwrai1,408793251,FALSE,Rascló saracura
Amaurolimnas concolor,Uniform Crake,unicra1,203931831,FALSE,Rascló unicolor
Cyanolimnas cerverai,Zapata Rail,zaprai1,,FALSE,Rascló de Zapata
Neocrex colombiana,Colombian Crake,colcra2,,FALSE,Rasclet de Colòmbia
Neocrex erythrops,Paint-billed Crake,pabcra,281088611,FALSE,
Pardirallus maculatus,Spotted Rail,sporai,486677801,FALSE,Rascló pintat
Pardirallus nigricans,Blackish Rail,blarai1,323816731,FALSE,Rascló culnegre
Pardirallus sanguinolentus,Plumbeous Rail,plurai1,31909,FALSE,Rascló de bec sagnant
Gymnocrex rosenbergii,Bald-faced Rail,bafrai2,,FALSE,Rascló de Rosenberg
Gymnocrex talaudensis,Talaud Rail,talrai1,,FALSE,Rascló de les illes Talaud
Gymnocrex plumbeiventris,Bare-eyed Rail,baerai1,182359,FALSE,Rascló de ventre gris
Hapalocrex flaviventer,Yellow-breasted Crake,yebcra1,84256751,FALSE,Rasclet pàl·lid
Porzana fasciata,Black-banded Crake,blbcra1,31399941,FALSE,Rasclet de ventre barrat
Porzana spiloptera,Dot-winged Crake,dowcra1,612246615,FALSE,Rasclet d'ales tacades
Porzana albicollis,Ash-throated Crake,astcra1,99135181,FALSE,Rasclet golagrís
Porzana carolina,Sora,sora,234407911,FALSE,Polla pintada americana
Porzana porzana,Spotted Crake,spocra1,252565531,FALSE,Polla pintada europea
Porzana fluminea,Australian Crake,auscra1,193897861,FALSE,Polla pintada australiana
Zapornia fusca,Ruddy-breasted Crake,rubcra1,643602129,FALSE,Rasclet de pit rogenc
Zapornia paykullii,Band-bellied Crake,babcra1,44671811,FALSE,Rasclet mandarí
Zapornia akool,Brown Crake,brocra1,626690358,FALSE,Polla akool
Zapornia flavirostra,Black Crake,blacra1,203935551,FALSE,Polla negra
Zapornia parva,Little Crake,litcra1,311053011,FALSE,Rascletó
Zapornia pusilla,Baillon's Crake,baicra1,483230031,FALSE,Rasclet europeu
†Zapornia astrictocarpus,St Helena Rail,,,FALSE,
†Zapornia palmeri,Laysan Rail,layrai,,FALSE,
Zapornia olivieri,Sakalava Rail,sakrai1,203985871,FALSE,Polla d'Olivier
Zapornia bicolor,Black-tailed Crake,bltcra1,203925461,FALSE,Polla cuanegra
†Zapornia sandwichensis,Hawaiian Rail,hawrai,,FALSE,
†Zapornia nigra,Miller's Rail,milrai1,,FALSE,
Zapornia atra,Henderson Crake,heicra1,203895361,FALSE,Rasclet de l'illa Henderson
Zapornia tabuensis,Spotless Crake,spocra2,203999161,TRUE,Rasclet del Pacífic
†Zapornia monasa,Kosrae Crake,koscra1,,FALSE,
