Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,lt
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,Kapinis frankolinas
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,Natalinis frankolinas
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,Rytų Afrikos frankolinas
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,Gambinis frankolinas
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,Žvynuotasis frankolinas
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,Pilkadryžis frankolinas
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,Geltonkaklis frankolinas
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,Pilkakrūtis frankolinas
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,Raudongurklis frankolinas
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,Sveinsono frankolinas
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,Keninis frankolinas
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,Puošnusis frankolinas
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,Kamerūninis frankolinas
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,Angolinis frankolinas
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,Rudasprandis frankolinas
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,Sudaninis frankolinas
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,Džibutinis frankolinas
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,Juodasis frankolinas
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,Indinis frankolinas
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,Kininis frankolinas
Francolinus pondicerianus,Grey Francolin,,,FALSE,Pilkasis frankolinas
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,Pelkinis frankolinas
Dendroperdix sephaena,Crested Francolin,crefra2,203935661,FALSE,Kuoduotasis frankolinas
Peliperdix coqui,Coqui Francolin,coqfra2,277029611,FALSE,
Peliperdix albogularis,White-throated Francolin,whtfra2,203974361,FALSE,Baltagurklis frankolinas
Peliperdix schlegelii,Schlegel's Francolin,schfra2,310774,FALSE,Šlėgelio frankolinas
Peliperdix lathami,Latham's Francolin,forfra2,203911761,FALSE,Miškinis frankolinas
Scleroptila streptophora,Ring-necked Francolin,rinfra2,381524691,FALSE,Žieduotasis frankolinas
Scleroptila leivaillantii,Red-winged Francolin,rewfra2,369073831,FALSE,
Scleroptila afra,Grey-winged Francolin,gywfra1,609008514,FALSE,
