Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,pl
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,Przepiór Łuskowany
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,przepiór strojny
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,przepiór czubaty
Callipepla californica,California Quail,calqua,111018,TRUE,Przepiór Kalifornijski
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,przepiór śniadoszyi
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,przepiór czarnogardły
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,przepiór białoczelny
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,przepiór marmurkowy
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,przepiór brazylijski
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,przepiór czarnobrody
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,przepiór czarnobrody
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,przepiór czarnolicy
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,przepiór kasztanowaty
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,przepiór ciemnogrzbiety
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,przepiór peruwiański
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,przepiór panamski
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,przepiór białolicy
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,przepiór wenezuelski
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,przepiór białogardły
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,przepiór andyjski
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,przepiór rdzawobrzuchy
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,przepiór brązowy
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,przepiór rdzawolicy
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,przepiór kreskowany
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,przepiór perlisty
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,przepiór perlisty (sallei/rowleyi)
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,przepiór maskowy
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,rdzawobród
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,bezszpon
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,pstropiór obrożny
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,pstropiór rdzawogardły
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,pstropiór czarnogardły
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,szponiastonóg krasnodzioby
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,szponiastonóg przylądkowy
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,szponiastonóg natalski
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,szponiastonóg nadobny
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,szponiastonóg brązowouchy
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,szponiastonóg łuskowany
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,szponiastonóg rudoplamy
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,szponiastonóg żółtogardły
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,szponiastonóg smugowany
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,szponiastonóg czerwonogardły
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,szponiastonóg brunatny
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,szponiastonóg kenijski
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,szponiastonóg ciemny
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,szponiastonóg kameruński
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,szponiastonóg angolski
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,frankolin etiopski
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,szponiastonóg brązowogłowy
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,szponiastonóg jałowcowy
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,frankolin obrożny
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,frankolin malowany
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,frankolin chiński
Francolinus pondicerianus,Grey Francolin,,,FALSE,frankolin indyjski
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,frankolin bagienny
