Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,hu
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,kameruni frankolin
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,Swierstra-frankolin
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,koronás frankolin
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,dzsibuti frankolin
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,örvös frankolin
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,kínai frankolin
Francolinus pondicerianus,Grey Francolin,,,FALSE,szürke fogolyfürj
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,
Dendroperdix sephaena,Crested Francolin,crefra2,203935661,FALSE,bóbitás frankolin
Peliperdix coqui,Coqui Francolin,coqfra2,277029611,FALSE,
Peliperdix albogularis,White-throated Francolin,whtfra2,203974361,FALSE,fehértorkú frankolin
Peliperdix schlegelii,Schlegel's Francolin,schfra2,310774,FALSE,Schlegel-frankolin
Peliperdix lathami,Latham's Francolin,forfra2,203911761,FALSE,Latham-frankolin
Scleroptila streptophora,Ring-necked Francolin,rinfra2,381524691,FALSE,
Scleroptila leivaillantii,Red-winged Francolin,rewfra2,369073831,FALSE,
Scleroptila afra,Grey-winged Francolin,gywfra1,609008514,FALSE,
Scleroptila finschi,Finsch's Francolin,finfra2,625744317,FALSE,Finsch-frankolin
Scleroptila psilolaema,Moorland Francolin,moofra2,31365811,FALSE,
Scleroptila elgonensis,Elgon Francolin,moofra3,274754931,FALSE,
Scleroptila shelleyi,Shelley's Francolin,shefra1,559895751,FALSE,
Scleroptila whytei,Whyte's Francolin,shefra3,277097,FALSE,
Scleroptila gutturalis,Orange River Francolin,orrfra2,510309801,FALSE,
Bambusicola fytchii,Mountain Bamboo-partridge,mobpar1,53420721,FALSE,hegyi bambusztyúk
Bambusicola thoracicus,Chinese Bamboo-partridge,chbpar3,48693961,FALSE,
Bambusicola sonorivox,Taiwan Bamboo-partridge,taibap1,203928081,FALSE,
Gallus gallus,Red Junglefowl,redjun,203917071,TRUE,bankivatyúk
Gallus sonneratii,Grey Junglefowl,grejun2,219526241,FALSE,szürke dzsungeltyúk
Gallus lafayetii,Sri Lanka Junglefowl,ceyjun1,223436,FALSE,ceyloni tyúk
Gallus varius,Green Junglefowl,grejun1,199794101,FALSE,gangatyúk
Tetraophasis obscurus,Chestnut-throated Partridge,verpar1,335063,FALSE,
Tetraophasis szechenyii,Buff-throated Partridge,szepar1,356505841,FALSE,Széchenyi-fajd
Lophophorus impejanus,Himalayan Monal,himmon1,182618261,TRUE,himalájai fényfácán
Lophophorus sclateri,Sclater's Monal,sclmon1,485571991,FALSE,fehérfarkú fényfácán
Lophophorus lhuysii,Chinese Monal,chimon1,30554891,FALSE,kékfarkú fényfácán
Tragopan melanocephalus,Western Tragopan,westra1,618952577,FALSE,Kasmír-tragopán
Tragopan satyra,Satyr Tragopan,sattra1,633595716,TRUE,szatírtragopán
Tragopan blythii,Blyth's Tragopan,blytra1,650866542,FALSE,fehérhasú tragopán
Tragopan temminckii,Temminck's Tragopan,temtra1,483733661,TRUE,kéktorkú tragopán
Tragopan caboti,Cabot's Tragopan,cabtra1,203899881,FALSE,mandarintragopán
Ithaginis cruentus,Blood Pheasant,blophe1,30554841,TRUE,vérfácán
Pucrasia macrolopha,Koklass Pheasant,kokphe1,252246071,FALSE,közönséges copfosfácán
Syrmaticus ellioti,Elliot's Pheasant,ellphe1,,FALSE,Elliot-fácán
Syrmaticus humiae,Mrs Hume's Pheasant,humphe1,145644081,FALSE,burmai fácán
Syrmaticus mikado,Mikado Pheasant,mikphe1,317328501,FALSE,mikádófácán
Syrmaticus soemmeringi,Copper Pheasant,copphe1,613262308,FALSE,rézfácán
