Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,it
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,Pernice sarda
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,Pernice rossa
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,Pernice d'Arabia
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,Pernice delle nevi
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,Pernice golagrigia
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,Pernice delle sabbie
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,Quaglietta del deserto
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,Quaglietta pittata
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,Quaglietta del Manipur
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,Quaglia dell'Himalaya
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,Francolino di Hartlaub
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,Francolino bisperonato
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,Francolino di Heuglin
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,Francolino di Clapperton
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,Francolino di Harwood
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,Faraona
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,Faraona pettobianco
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,Faraona nera
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,Faraona vulturina
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,Faraona piumata
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,Faraona crestata occidentale
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,Pernice sassicola
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,Francolino di Nahan
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,Quaglia fasciata
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,Quaglia montana
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,Colino della Virginia
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,Colino golanera
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,Quaglia squamata
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,Quaglia elegante
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,Quaglia di Gambel
Callipepla californica,California Quail,calqua,111018,TRUE,Colino della California
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,Pernice boschereccia barbuta
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,Pernice boschereccia codalunga
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,Pernice boschereccia capocamoscio
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,Quaglia boschereccia marmorizzata
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,Quaglia boschereccia alimacchiate
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,Quaglia boschereccia guancenere
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,Quaglia boschereccia guancenere
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,Quaglia boschereccia frontenera
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,Quaglia boschereccia castana
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,Quaglia boschereccia dososcuro
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,Quaglia boschereccia pettorossiccio
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,Quaglia boschereccia del Tacarcuna
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,Quaglia boschereccia del Venezuela
