Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,zh,zh_hk,zh_tw
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,雪山鹑,雪山鹑,雪山鶉
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,高加索雪鸡,高加索雪鸡,高加索雪雞
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,里海雪鸡,里海雪鸡,裡海雪雞
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,暗腹雪鸡,暗腹雪鸡,暗腹雪雞
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,藏雪鸡,藏雪鸡,藏雪雞
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,阿尔泰雪鸡,阿尔泰雪鸡,阿爾泰雪雞
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,,,
Alectoris chukar,Chukar,chukar,210513,FALSE,石鸡,石雞,石雞
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,大石鸡,大石鸡,大石雞
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,黑脸石鸡,黑脸石鸡,菲爾比氏石雞
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,北非石鸡,北非石鸡,鬚石雞
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,红腿石鸡,红腿石鸡,紅腳石雞
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,阿拉伯石鸡,阿拉伯石鸡,阿拉伯石雞
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,雪鹑,雪鹑,雪鶉
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,漠鹑,漠鹑,漠鶉
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,沙鹑,沙鹑,沙鶉
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,,,
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,岩林鹑,岩林鹑,岩叢林鶉
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,红嘴林鹑,红嘴林鹑,紅嘴叢林鶉
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,阿萨姆林鹑,阿萨姆林鹑,阿薩姆叢林鶉
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,喜马拉雅鹌鹑,喜马拉雅鹌鹑,高山鶉1868滅絕
