Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,sk
Synallaxis candei,White-whiskered Spinetail,whwspi1,385687901,FALSE,košikárik pustatinný
Synallaxis erythrothorax,Rufous-breasted Spinetail,rubspi2,178619701,FALSE,košikárik hrdzavoprsý
Synallaxis tithys,Blackish-headed Spinetail,blhspi1,203929891,FALSE,košikárik tmavohlavý
Synallaxis unirufa,Rufous Spinetail,rufspi1,66136,FALSE,košikárik jednofarebný
Synallaxis castanea,Black-throated Spinetail,bltspi1,385693691,FALSE,košikárik čiernozobý
Synallaxis fuscorufa,Rusty-headed Spinetail,ruhspi1,203990671,FALSE,košikárik hrdzavohlavý
Synallaxis cinnamomea,Stripe-breasted Spinetail,stbspi1,309084461,FALSE,košikárik kuruti
Synallaxis rutilans,Ruddy Spinetail,rudspi1,203985131,FALSE,košikárik čiernochvostý
Synallaxis cherriei,Chestnut-throated Spinetail,chtspi1,203696471,FALSE,košikárik hnedohrdlý
Synallaxis hypochondriaca,Great Spinetail,grespi2,204012131,FALSE,košikárik akáciový
Synallaxis zimmeri,Russet-bellied Spinetail,rubspi3,512237581,FALSE,košikárik hájový
Synallaxis stictothorax,Necklaced Spinetail,necspi1,640160764,FALSE,košikárik bledobruchý
Synallaxis chinchipensis,Chinchipe Spinetail,necspi3,308365,FALSE,košikárik Chapmanov
Synallaxis brachyura,Slaty Spinetail,slaspi1,203697921,FALSE,košikárik bridlicový
Synallaxis subpudica,Silvery-throated Spinetail,sitspi1,203953061,FALSE,košikárik striebrohrdlý
Synallaxis hellmayri,Red-shouldered Spinetail,resspi2,103088,FALSE,košikárik červenoplecí
Synallaxis ruficapilla,Rufous-capped Spinetail,rucspi1,512496441,FALSE,košikárik čiapočkatý
Synallaxis cinerea,Bahia Spinetail,bahspi1,488988051,FALSE,košikárik jantárový
Synallaxis infuscata,Pinto's Spinetail,pinspi1,127969,FALSE,košikárik nížinný
Synallaxis moesta,Dusky Spinetail,dusspi1,217113481,FALSE,košikárik tmavý
Synallaxis cabanisi,Cabanis's Spinetail,cabspi1,17120,FALSE,košikárik maskový
Synallaxis macconnelli,McConnell's Spinetail,mccspi1,385788491,FALSE,košikárik guyanský
Synallaxis hypospodia,Cinereous-breasted Spinetail,cibspi1,348655901,FALSE,košikárik popolavý
Synallaxis spixi,Spix's Spinetail,spispi1,361512381,FALSE,košikárik čikli
Synallaxis albigularis,Dark-breasted Spinetail,dabspi1,288203251,FALSE,košikárik bielohrdlý
Synallaxis beverlyae,Orinoco Spinetail,riospi1,139283,FALSE,košikárik riečny
Synallaxis albescens,Pale-breasted Spinetail,pabspi1,437281221,FALSE,košikárik savanový
Synallaxis frontalis,Sooty-fronted Spinetail,sofspi1,217064,FALSE,košikárik tmavočelý
Synallaxis azarae,Azara's Spinetail,azaspi1,171490,FALSE,košikárik Azarov
Synallaxis courseni,Apurimac Spinetail,apuspi1,496417701,FALSE,košikárik apurimacký
Neopelma aurifrons,Wied's Tyrant-manakin,witman1,203984321,FALSE,manakin lesný
Neopelma chrysolophum,Serra do Mar Tyrant-manakin,sdmman1,71589,FALSE,manakin horský
Neopelma sulphureiventer,Sulphur-bellied Tyrant-manakin,sbtman1,132771,FALSE,manakin bambusový
Tyranneutes stolzmanni,Dwarf Tyrant-manakin,dwtman1,115137,FALSE,manakin malý
Tyranneutes virescens,Tiny Tyrant-manakin,titman1,372124911,FALSE,manakin trpasličí
Xenopipo uniformis,Olive Manakin,oliman2,369489231,FALSE,pipra olivová
Xenopipo atronitens,Black Manakin,blaman1,47805571,FALSE,pipra čierna
Heterocercus aurantiivertex,Orange-crested Manakin,orcman3,651394499,FALSE,pipra ekvádorská
