Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,dk
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,Sangvagtel
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,Montezumavagtel
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,Montezumavagtel (Oaxaca)
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,Brillevagtel
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,Udzungwaskovhøne
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,Hjelmvagtel
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,Himalayaskovhøne
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,Gyldenstrubet Skovhøne
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,Burmaskovhøne
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,Rødnæbbet Frankolin
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,Kapfrankolin
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,Natalfrankolin
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,Hildebrandts Frankolin
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,Vestlig Skælfrankolin
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,Skælfrankolin
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,Angolaskælfrankolin
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,Gulstrubet Sporehøne
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,Gråbrystet Sporehøne
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,Rødhalset Sporehøne
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,Gråbrun Sporehøne
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,Kenyabjergfrankolin
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,Ugandabjergfrankolin
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,Camerounbjergfrankolin
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,Angolabjergfrankolin
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,Etiopisk Bjergfrankolin
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,Rødehavs-bjergfrankolin
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,Djibouti-bjergfrankolin
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,Sort Frankolin
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,Malet Frankolin
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,Kinesisk Frankolin
Francolinus pondicerianus,Grey Francolin,,,FALSE,Grå Frankolin
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,Sumpfrankolin
Dendroperdix sephaena,Crested Francolin,crefra2,203935661,FALSE,Topfrankolin
