Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,fr
Furnarius cristatus,Crested Hornero,crehor1,213864,FALSE,Fournier huppé
Lochmias nematura,Streamcreeper,shtstr1,237374131,FALSE,Picerthie de Saint-Hilaire
Phleocryptes melanops,Wren-like Rushbird,wrlrus1,389125261,FALSE,Junquero troglodyte
Limnornis curvirostris,Curve-billed Reedhaunter,cubree1,50842,FALSE,Limnornis à bec courbe
Geocerthia serrana,Striated Earthcreeper,strear1,204009411,FALSE,Upucerthie striée
Upucerthia saturatior,Forest Earthcreeper,pafear1,431592411,FALSE,Upucerthie de forêt
Upucerthia dumetaria,Scale-throated Earthcreeper,sctear1,52560691,FALSE,Upucerthie des buissons ou U. de forêt
Upucerthia albigula,White-throated Earthcreeper,whtear1,439693381,FALSE,Upucerthie à gorge blanche
Upucerthia validirostris,Buff-breasted Earthcreeper,bubear2,203693791,FALSE,Upucerthie fauve
Cinclodes pabsti,Long-tailed Cinclodes,lotcin1,203694811,FALSE,Cinclode à longue queue
Cinclodes fuscus,Bar-winged Cinclodes,buwcin1,504247541,FALSE,Cinclode brun ou C. gris
Cinclodes maculirostris,Black Cinclodes,,,FALSE,Cinclode fuligineux (maculirostris)
Cinclodes antarcticus,Blackish Cinclodes,blacin1,203969631,FALSE,Cinclode fuligineux
Cinclodes comechingonus,Cordoba Cinclodes,corcin1,46198,FALSE,Cinclode gris
Cinclodes albidiventris,Chestnut-winged Cinclodes,chwcin1,52709,FALSE,Cinclode à miroir marron
Cinclodes olrogi,Olrog's Cinclodes,olrcin1,46195,FALSE,Cinclode d'Olrog
Cinclodes albiventris,Cream-winged Cinclodes,crwcin1,189512,FALSE,Cinclode à miroir blanc
Cinclodes oustaleti,Grey-flanked Cinclodes,gyfcin1,64031891,FALSE,Cinclode d'Oustalet ou C. d'Olrog
Cinclodes excelsior,Stout-billed Cinclodes,stbcin1,622938265,FALSE,Cinclode du paramo ou C. royal
