Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,jp,jp_latn
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,ヤブウズラ/イワヤブウズラ,
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,イワヤブウズラ,
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,サイシキヤブウズラ,
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,チャノドヤブウズラ,
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,ケバネウズラ,
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,マダラシャコ,
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,フタツケズメシャコ,
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,キバシシャコ,
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,ヒゲシャコ,
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,エチオピアシャコ,
NUMIDIDAE,Guineafowl,,,FALSE,,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,ホロホロチョウ,
N. m. galeatus,West African Guineafowl,,,FALSE,,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,ムナジロホロホロチョウ,
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,クロホロホロチョウ,
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,フサホロホロチョウ,
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,コカンムリホロホロチョウ,
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,,
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,,
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,,
ODONTOPHORIDAE,New World Quails,,,FALSE,,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,イシシャコ,
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,コンゴモリシャコ,
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,ヨコフウズラ,
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,ツノウズラ,
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,コリンウズラ,
C. v. ridgwayi,Masked Bobwhite,,,FALSE,,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,ノドグロコリン,
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,,
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,カンムリコリン,
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,ウロコウズラ,
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,エボシウズラ,
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,ズアカカンムリウズラ,
