Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,sv
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,japansk vaktel
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,regnvaktel
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,harlekinvaktel
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,stäppvaktel
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,brun vaktel
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,asiatisk blåvaktel
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,afrikansk blåvaktel
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,papuansk berghöna
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,kaukasisk snöhöna
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,kaspisk snöhöna
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,himalayasnöhöna
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,tibetansk snöhöna
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,altajsnöhöna
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,stenhöna
Alectoris chukar,Chukar,chukar,210513,FALSE,berghöna
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,lössberghöna
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,svartstrupig berghöna
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,klipphöna
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,rödhöna
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,arabisk rödhöna
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,sherpahöna
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,visselhöna
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,ökenhöna
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,djungelbuskvaktel/slättbuskvaktel
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,slättbuskvaktel
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,rödnäbbad buskvaktel
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,manipurbuskvaktel
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,himalayavaktel
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,hartlaubfrankolin
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,marockansk frankolin
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,gulnäbbad frankolin
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,clappertonfrankolin
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,harwoodfrankolin
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,hjälmpärlhöna
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,kalkonpärlhöna
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,svart pärlhöna
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,gampärlhöna
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,plympärlhöna
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,västlig tofspärlhöna
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,östlig tofspärlhöna
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,sydlig tofspärlhöna
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,stenvaktel
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,nahanvaktel
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,bandtofsvaktel
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,bergtofsvaktel
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,virginiavaktel
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,svartstrupig vaktel
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,fläckbukig vaktel
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,kronvaktel
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,fjällig tofsvaktel
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,prakttofsvaktel
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,ökentofsvaktel
Callipepla californica,California Quail,calqua,111018,TRUE,kalifornisk tofsvaktel
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,rostbröstad skogsvaktel
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,långstjärtad skogsvaktel
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,vitpannad skogsvaktel
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,marmortandvaktel
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,grå tandvaktel
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,svartstrupig tandvaktel
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,svartstrupig tandvaktel
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,svartpannad tandvaktel
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,svartfläckig tandvaktel
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,mörkryggig tandvaktel
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,rödbröstad tandvaktel
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,tacarcunatandvaktel
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,colombiatandvaktel
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,venezuelatandvaktel
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,vitstrupig tandvaktel
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,diamanttandvaktel
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,stjärntandvaktel
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,fläckig tandvaktel
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,orangekindad vaktel
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,sångvaktel
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,montezumavaktel
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,montezumavaktel (sallei/rowleyi)
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,glasögonvaktel
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,udzungwahöna/rubehohöna
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,tofshöna
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,brunkronad sånghöna
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,roststrupig sånghöna
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,vitkindad sånghöna
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,rödnäbbad frankolin
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,kapfrankolin
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,natalfrankolin
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,hildebrandtfrankolin
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,ahantafrankolin
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,fjällig frankolin
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,gråstrimmig frankolin
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,gulstrupig frankolin
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,victoriafrankolin
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,rödstrupig frankolin
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,swainsonfrankolin
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,jacksonfrankolin
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,rostbukig frankolin
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,kamerunfrankolin
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,swierstrafrankolin
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,rostkindad frankolin
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,erckelfrankolin
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,djiboutifrankolin
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,svart frankolin
