Latin,English,Croatian
Metallura aeneocauda,Scaled Metaltail,bumbar1395
Metallura phoebe,Black Metaltail,bumbar1396
Haplophaedia aureliae,Greenish Puffleg,bumbar1397
Haplophaedia assimilis,Buff-thighed Puffleg,bumbar1398
Haplophaedia lugens,Hoary Puffleg,bumbar1399
Eriocnemis nigrivestis,Black-breasted Puffleg,bumbar1400
Eriocnemis isabellae,Gorgeted Puffleg,bumbar1401
Eriocnemis vestita,Glowing Puffleg,bumbar1402
Eriocnemis derbyi,Black-thighed Puffleg,bumbar1403
Eriocnemis godini,Turquoise-throated Puffleg,bumbar1404
Eriocnemis cupreoventris,Coppery-bellied Puffleg,bumbar1405
Eriocnemis luciani,Sapphire-vented Puffleg,bumbar1406
Eriocnemis sapphiropygia,Coppery-naped Puffleg,bumbar1407
Eriocnemis mosquera,Golden-breasted Puffleg,bumbar1408
Eriocnemis glaucopoides,Blue-capped Puffleg,bumbar1409
Eriocnemis mirabilis,Colorful Puffleg,bumbar1410
Eriocnemis alinae,Emerald-bellied Puffleg,bumbar1411
